categoria,pergunta,resposta
home-insurance,How To Save On Home Insurance Premiums?,The basic way to lower insurance costs is to increase your portion of the risk. That is usually done by increasing the deductible. There may be options to substantially increase the deductible which could save a good amount. The wrong way to reduce the cost is to reduce liability coverage. That temptation should be avoided. It is extremely hazardous to your financial health.
life-insurance,Does Depression Affect Life Insurance?,"That is an excellent question! One of the things that insurance companies are very careful about is your mental state when taking out insurance, or being insured. All legal agreements want you to be ""of sound mind"" when entering into the agreement. They will want to be sure that you aren't taking out a policy for the wrong reasons, and the agent selling you the policy will be required to report what they see/feel about your motives and mental state. I've had clients that were denied coverage for the medications that they were on, and were offered reduced coverage as a result, and I've had some that were accepted with a Doctor's report on the stability and treatment history of the struggle with the depression. It really helps to have an independent agent who can understand your struggle, and guide you through the process to find the best company and policy for you. If you need help, please feel free to contact me, okay? Thanks for asking!"
life-insurance,Does Depression Affect Life Insurance?,"Depression can present underwriting challenges. But in many cases, an otherwise healthy individual with only mild depression or anxiety accompanied by documented stability can obtain standard or even preferred risk class. It is important to understand that depression is an illness that affects the entire body, not just the mind. Depression will afflict one in five people during their lifetime. The underwriter, while concerned that the proposed insured has suffered from depression, is more concerned with recovery. An experienced life insurance professional will know how to best present the case to the life insurance underwriter."
life-insurance,Does Depression Affect Life Insurance?,"Depression can affect life insurance, but does not necessarily do so. Mild depression that is well controlled by one medication, where the applicant has not missed work or been hospitalized due to the depression, and has shown stability for over a year, can get Preferred rates from some companies. At the other extreme, if the applicant has had a recent suicide attempt, is on disability for depression, or is in a period of trying out new medications, you may need to take a simplified or guaranteed issue plan until you have had some stability for a while. There are many options for people suffering from depression. You will definitely benefit from using an agency that specializes in impaired risk life insurance to find your best rate."
life-insurance,Does Depression Affect Life Insurance?,"Depression can affect life insurance rates very little, or it can affect them a lot. The severity of the depression, whether or not there were suicidal thoughts or attempt(s), whether there was hospitalization for depression (and if so, how often and how long ago), if the applicant is on disability for depression, how many medications are being used to treat the depression, and whether therapy is part of the treatment can all affect the rates. Mild depression treated with only one medication can result in preferred rates. A long history of depression that is resistant to treatment and has a high risk of suicide can result in a decline. In my experience, severe depression is far less common than mild depression, and most policies involving depression get rated favorably."
renters-insurance,Does Each Tenant Need Renters Insurance?,"It is always wise for a tenant to carry Renters insurance. Many people believe that since an owner has a policy on the property, their possessions are covered as well as his. But the policy a landlord holds does not carry much coverage for personal property. It is really more for protecting the property, not personal property. Renters insurance ensures the tenants possessions are covered in the event of theft, fire or some type of disaster."
renters-insurance,Does Each Tenant Need Renters Insurance?,"For the most part, yes, unless you're married or live with your parent(s). For the property part of your insurance, you must have an insurable interest in the property. The insurance company will only pay the owner of the property in the event of a claim. If you don't own it, you have no loss. If you're married, the property is considered to be owned by both so either can collect from a loss. For the liability portion, you must be a named insured or the dependent of a named insured. If you have a roommate and you both get sued, your liability covers you and their liability covers them. Look at it this way, if you're roommate gets sued for doing something negligent, do you really want that to be your problem? A good agent will help you choose the right coverages for your situation and build a policy you can afford. Be smart and find an agent you can trust. It'll save you money in the long run."
renters-insurance,Does Each Tenant Need Renters Insurance?,"Tenants should have renters insurance to insure the contents inside their apartment as well provide insurance should they cause the structure to be damaged by fire, flood or smoke. If you are the tenant in an apartment and accidently do somthing in your apartment that damages anothers personal property and or the building, you could be held liable for the damage. Most renters insurance offers a minimum of 25000 in contents coverage and 300,000 in personal liability coverage. This insurance generally costs about $20,00 per month. Keith Prim Dallas, TX 214-435-0791"
life-insurance,Can Life Insurance Test For Tobacco?,"Yes. Most life insurance carriers are very specific about rating their customers into categories, such as Non-Smoker or Smoker. While each company has a different name for how they classify it, each holds the risk to tobacco users and non-tobacco users, who have different life expectancy's, therefore different risks to the insurance company. The methods of discovery can be blood and urine test, or even a simple mouth swab which is used to detect trace amounts of nicotine. Some companies don't mind a little use, while others are very restrictive."
life-insurance,Can Life Insurance Test For Tobacco?,"Yes, when you take an exam as part of the life insurance application process, the lab will test for the presence of cotinine in blood, urine and/or saliva. Cotinine is a metabolite of nicotine that lasts longer than nicotine so can be detected longer, and is a more accurate measure of smoking activity. If you take a policy that does not require a paramed exam, no such test will be done. The application usually asks if the applicant has used tobacco in the past year, and if the company orders medical records, they could find out about smoking that way."
medicare-insurance,How Much Is Medicare Health Insurance?,"If you are talking about Medigap (or Medicare Supplement) Insurance, that would vary according to the company and plan you select. Some Medicare Advantage Plans offer 0 premium. Medigap Insurance premiums could be any where from $30 per month to $300 a month or more depending on where you live, your age, the plan, and the company."
medicare-insurance,How Much Is Medicare Health Insurance?,"Medicare Part A is ""free"" for most who meet the requirements for Medicare. Medicare Part B currently has a monthly premium of $105 for most people in 2013 but will be higher for those with higher incomes. Medicare Part D is a prescription drug plan available through private insurance carriers and has a monthly premium that varies by plan and zip code."
annuities,What Are Qualified And Nonqualified Annuities?,"A qualified annuity will have the tax characteristics of the particular type of plan it is (IRA, Roth IRA etc.). A non qualified annuity has it's own tax characteristics. Many of those characteristics are similar to qualified plans, but there are some that are unique to non qualified annuities. - There is no maximum annual contribution. You can invest as much as you would like into a non qualified annuity - Unlike in a qualified plan, the IRS does not force you to start taking withdrawals at age 59 1/2 or at any age - If you annuitize, your tax burden will be spread out over the withdrawal period. Instead of being taxed as earnings first, each payment will be taxed as being made up of both some earnings and some return of basis. This tax exclusion ratio is calculated at the time you annuitize."
annuities,What Are Qualified And Nonqualified Annuities?,"A qualified annuity is one that is a part of a qualified retirement plan. For most people that means an IRA, Roth IRA, 401(k), 403(b) or similar plan. The rules governing the treatment of the tax annuity are contained in the appropriate sections of the Internal Revenue Code. A non-qualified annuity is not a part of a qualified retirement plan."
home-insurance,Does Escrow Include Homeowners Insurance?,"It can, but it depends on your mortgage company. Usually, if a mortgage company requires escrow for the taxes, they will escrow the insurance too. Whether you want the insurance escrowed or not, your best bet is to talk to your mortgage company to see what options are available based on your loan."
home-insurance,Does Escrow Include Homeowners Insurance?,"Good question. Yes, typically insurance is included in escrow, but you need to communicate with your lender to see if they have included the insurance premium in your estimated payments (if you are purchasing a home.) A lot of people include their homeowners insurance into their escrow account. I would contact your lender to see what your house payment will be with and without your insurance premium included in escrow. You may be required to escrow yourinsurance depending onthe terms of the mortgage. I hope this is helpful. If you have any additional questions about homeowners insurance please let me know. Have a wonderful day! Best, Josh DeBoer 918-582-8206 fdands.com WEBSITELINK"
home-insurance,Does Escrow Include Homeowners Insurance?,"A mortage company may include insurance premiums in an escrow account if they require that to be the case. Over the years, that has in this area (CT) become more commonplace but it is not ALWAYS the case. The best way to determine if your Homeowners Insurance is included in your escrow account is to check your year end statement and then of course, contact your lender to verify. If you find that it is not, then the next call should be to your Insurance Professional who can update the records onj your policy and billing account for you and offer you addiional payment options that may better suit your needs."
health-insurance,Can I Have 2 Health Insurance Policies?,You can but you would be throwing your money away. Health insurance policies coordinate benefits. They will not pay more than 100% of the bill. Deductibles and copay's will still apply. You do not need to have more than one Major Medical health plan. There are some supplemental plans that pay in addition to your Major Medical. You might want to consider one of these.
life-insurance,What Is Meant By Term Life Insurance?,"Term life insurance is life insurance that will end after a certain length of time. Some Term Life Insurance policies will automatically renew at the end of the term at a much higher price than before, and can then go up in price every year. With other Term policies, you must elect to pay the new, higher premium when the level period ends. Either way, the time of level premium ends at the end of the term."
renters-insurance,Can You Be Forced To Buy Renters Insurance?,"A person can be required to get renters insurance as part of the lease agreement. This requirement helps protect landlords in the case of fire or other disaster. The landlord is not responsible for damage to the contents of the property, but many renters assume they are. A landlord that allows renters to have pets may require renters insurance in case of dog bites. Not maintaining renters insurance would be a violation of the lease agreement and be terms for eviction. Renters insurance is a good purchase for anyone as the cost is very low for the amount of coverage received. This will protect your property in the case of fire or theft."
life-insurance,Can You Get Life Insurance With Sleep Apnea?,"Yes, you can get life insurance with sleep apnea. If your sleep apnea is mild and has been controlled by Cpap or some other treatment, and showed stability with a follow up sleep study a year or so later, you can be rated as good as Preferred with some carriers. Severe sleep apnea that does not have successful treatment is the worst case scenario. Contacting an agency with experience in writing life insurance for persons with sleep apnea will help you get the best rate."
life-insurance,Can You Negotiate Term Life Insurance?,"That is a great question! If you find an insurance company that will allow you to negotiate with them, would you please drop me a quick note and let me know who they are? Kidding aside, you will not find one. Insurance companies are the strictest of bean counters, and there isn't a one that will change rates for you. They are very strictly regulated, and in most cases, would have to change the whole rate group's premiums to match whatever rate that you were able to negotiate. That is very, very unlikely to ever happen. I hope that helps, thanks for asking!"
life-insurance,Can You Negotiate Term Life Insurance?,All life insurance is about mathematics. The companies deal with a mountain of statistics and design their policies based on hundreds of years of evidence. Their projections are very accurate and they operate on very slim margins. When the company offers to insure you should understand that is their best offer under almost every condition.
life-insurance,Can You Negotiate Term Life Insurance?,The rates are files in every state for every term life insurance product. What is generally not known is that the health classification is negotiable. Life insurance brokerage firms with an emphasis on underwriting and broad based production can usually work their relationships and use of insurance underwriting credits to their customers advantage.
life-insurance,Can You Negotiate Term Life Insurance?,"If you are asking about negotiating rates for individual term life insurance then the answer would be ""No"". Each life insurance carrier has their own actuarial models they use to develop the rate tables for their products which they in turn file with insurance departments. So, it's pretty much a ""what you see is what you get"" quoting environment. Sometimes, if you are rated up during the underwriting process because of information gathered from the Medical Information Bureau (MIB) or from results of a medical exam taken to qualify for the coverage and you successfully challenge these decisions (not a real common occurrence) you might see an reduction of or dropping of the proposed risk adjustment. If you are wanting to get the best pricing possible for term life insurance then the best thing to do is shop around among different life insurance carriers. If you are talking about group term life insurance policies, then if you are bringing enough employee lives to the table and represent enough premium volume to make it worth an insurance carrier's time, you may be able to negotiate a better price or get a bundling discount for purchasing other insurance products from that insurance carrier."
life-insurance,Can You Negotiate Term Life Insurance?,"Can you negotiate Term Life Insurance? That is a great question. Many people think that life insurance companies hold sales, and ads can easily give people that impression. But life insurance actually has set rates, and the only negotiable part may (or may not) be what you are rated. Most life insurance companies must justify to their reinsurer(s) the rating that they give an applicant, which means sticking to underwriting guidelines. That is why you can often get a better rate by shopping with an agency that carries many different companies, because you can take advantage of a variety of underwriting guidelines and find the one that works best for you. Sometimes, when a rating is given, extra information can be provided to the underwriter to convince him/her to improve the rating. Sometimes knowing that another company rated you better can help bump your rating up. These are possibilities that could result in you paying a lower price. But how the life insurance itself is priced is not negotiable."
life-insurance,Can You Negotiate Term Life Insurance?,"No, the rates for Term Life Insurance are set by the carriers and they are not able to change them at will. However, there are different term lengths, so if you cannot afford the premium for a longer term, you may be able to choose a shorter term, instead."
home-insurance,Is Homeowners Insurance Cheaper Than Landlord Insurance?,"We will begin to answer this question with the following caution: when one asks about a policy being 'cheaper' than another (especially when it is the first question asked), the immediate concern arises regarding the lack of importance of the coverage which is the primary reason for purchasing the insurance. To answer the question correctly, Homeowners Insuranceand Landlords Insuranceare not related in any way other than to provide property coverage on a similar dwelling. TheHomeowners Insurance policy is defined and writtenfor the Owner Occupied home of the titled owner of the property;the Landlords Insurance policy is defined and written for the Tenant Occupedhome of the titled owner of the property. Each policy contract contains an Occupancy Clause stating the occupancy of thedwelling insured. We have witnessed large losses which have been denied by carriers due to the occupancy not matching the policy purpose. Therefore, if you have a tenant occupied home, you will need to purchase a Landlords Policy and if you are seeking to insure your primary home, you should purchase a Homeowners Policy. The LandlordsPolicy statistically poses a greater risk factor to the insurance company; however generally, the LandlordsPolicy does not provide coverage for personal property (contents) and provides a more limited form of Liability Coverage listed as Premises OnlyLiability. Now, regarding cost, the premium is specific to the carrier's experience with each type of policy.There are insurance carriers that have a much worse historic experience on tenant occupied properties; thus, the Landlords Policy would be rated as a higher risk than the Homeowners Policy. However, in most cases, for the same Dwelling Coverage amount, we find that the Landlords Policy Premium islower than the Homeowners Policy. Awise word to the public would be to purchase the correct coverage for the application since if a futureclaim is denied based on the incorrect policy form being purchased, the whole purpose of the insurance is void and unnecessary. For more information regaring Homeowners Insurance, please click the following link: WEBSITELINK"
auto-insurance,How To Switch Auto Insurance Policies?,"Switching auto policies is generally a painless operation. Make sure that the new company is going to issue a policy that is exactly what you want. If that is true, then notify your current company and ask that the existing policy be cancelled at the same time and date as the new one starts. Send along a copy of the declaration sheet of the new policy to satisfy the oldcompany that you are leaving. Most cancellations are handled on a pro-rata basis. That means that you will be charged for the number of days that the policy was in force. There could be a charge for early cancellation."
life-insurance,How Much Term Life Insurance Do I Need?,"The amount of term life insurance you need will vary, depending upon your age, type of work you do, income, number and age of dependents, your budget and other in-force policies you have. As you can see, there is no easy answer. Although 5-10x salary figures are often thrown out, consulting an experienced full-time broker will yield the best results."
life-insurance,How Much Term Life Insurance Do I Need?,The place to start is to determine the actual need amount first. The type - term or permanent - is largely a secondary determination based on budget and if the need is likely to be temporary (term) or for a lifetime (permanent). Conventional methods center on a capital needs analysis (how much do I need as a lump sum at my death to create an income for my family). Other methods look at Human Life Value and variations on these. The analysis may also address whether the need is indeed a good fit for a temporary or permanent life insurance solution. Ask a life insurance professional to provide a customized analysis for you and your family. There are a wide variety of online calculators such as this one: WEBSITELINK These calculators can help you visualize the problem and better prepare you for a planning discussion with your agent.
health-insurance,What Is Health Insurance Portability And Accountability Act?,"The Health Insurance Portability and Accountability Act of 1996 (commonly known as HIPAA) protects patients medical information in that your personal information cannot be shared with another party without your authorization. The other aspect of HIPAA that most people are familiar with is COBRA. COBRA allows you to continue employer coverage for a while after your employment has terminated. Under the affordable care act, coming off of group coverage does grant you a special enrollment period as it's a qualifying event so you would want to compare options between COBRA and plans available on the individual market - an experienced health insurance broker can help you with this. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
health-insurance,What Is Health Insurance Portability And Accountability Act?,HIPAA has been around for several years (since 1996) and is a very broad law addressing many aspects of employer provided group health insurance. The main provision that most people are familiar with is the COBRA act that allows you to continue employer coverage for up to 36 months after your employment has terminated.
health-insurance,What Is Health Insurance Portability And Accountability Act?,"The Health Insurance Portability and Accountability Act provides protections for an individual's personal health information. If gives patients numerous rights in that area. As a practical matter, it insures that person health information is not made available to parties without the express permission of the individual. Although there are exceptions about the sharing of information between healthprofessionals, inherent in the act is the fact that we should have control of who sees our health information and how that information is used. That expectation of privacy is extended to prevent family members from gaining information without one's knowledge and permission."
retirement-plans,Is A 403B A Qualified Retirement Plan?,"A 403(b) is a qualified retirement plan available for public school teachers, principles, janitors, administrators as well as self employed ministers, some non-profit employers and service organizations. The contributions are deductible, accumulate tax deferred and are taxed as ordinary income at distributions."
life-insurance,How Much Life Insurance Does The Average American Have?,"According to a recent study, 41% of U.S. adults have no life insurance at all. Of those who do, many only have group term life through their employer (will terminate when they leave their employer) typically at amounts like 50,000 or one times salary. The average U.S. household with life insurance owns enough to replace only 3.5 years of income (LIMRA 2010 U.S. Life Ownership Study) even though insurance companies will insure those in the 30s or 40's up to 25 times their income or more."
life-insurance,How Much Life Insurance Does The Average American Have?,"According to LIMRA, Life Insurance Marketing and Research Association, the nations leading expert on life insurance sales, the average person has a face amount of $165,000 in life insurance. Other interesting statistics on the subject find that 70% of American households admit they would have financial difficulties if the primary wage earner were to die. So, 7 out of 10 people admit they don't have enough life insurance in force. Out of this 70%, 30% of Americans have no life insurance at all, even though we are all guaranteed to die someday. Life insurance is just too important and affordable not to have enough for those loved ones left behind to pick up the pieces. For example, a young healthy 25 year old female can purchase $500,000 in term life insurance for as low as $12.62 per month. It is the most affordable insurance product on the market and yet one of the most under purchased for the level needed."
auto-insurance,Does Car Insurance Have To Be In Your Name?,"Most if not all states require that you show proof of insurance in order to register a car and maintain that registration in good order. Here in Connecticut, as a result, if a car is titled to you, then it needs to be registered to you and the insurance policy must name you as a principal insured on the policy. The insurance company will also want to have named any other drivers residing in your household as they have access to the car. Some companies will require that any other drivers in teh household be formally excluded from coverage if they are not to be named as drivers on your policy."
auto-insurance,Does Car Insurance Have To Be In Your Name?,"Generally speaking, the answer is NO. You can still meet the financial responsibility that insurance is designed to provide by being a listed driver in a household. If you are in a domestic relationship and not married, you should probably have two names listed as first named insurers on the dec page of the policy. Laws are variable on your protection status. If you have an insurable interest due to owning a vehicle in the households, you may need to be listed to satisfy a lender. If you are not a named insured and not a legally recognized domestic partner, you may not have protection for every aspect of coverage so in the end it makes sense to be listed on the declaration page. This is less important for children of the insured living in the household due the defition of ""insured"" in the policy's. All of the latter should be confirmed by a licensed agent in your state of residences."
auto-insurance,Does Car Insurance Have To Be In Your Name?,"In California the automobile is the object insured, not the driver. The automobile must be associated with a household and the drivers in that household are considered and listed on the policy. The automobile is insured as long as it is being operated by a licensed driver who has permission of the owner to operate the vehicle."
life-insurance,Can I Get Life Insurance At 90?,"Life insurance is available at age 90, but it is very expensive and requires moderately good health. There actually are more choices at age 85 (including some No Exam choices that are available in small face amounts and can be obtained by seniors with controlled health conditions). And even more available at age 80 for those who have serious or uncontrolled health problems."
health-insurance,Which Health Insurance Is The Best?,"The best health insurance plan for you is the one that will be the most suitable for your specific needs and budget. It's a generic answer I know, but it's true. What's best for you may not be the best for someone else. Two questions that are helpful in pointing you in the right direction to find the plan type that's best for you are: 1) do you want the most comprehensive coverage you can get or are you willing to take on a larger share of the risk/costs to keep your premiums down? 2) what is your budget? maximum dollar you're willing to spend? Under the Affordable Care Act, there are four main benefit levels - bronze, silver, gold, and platinum. Platinum plans are going to provide the most comprehensive benefits, but will also feature the highest premiums. Not everyone will be able to afford a platinum plan, which is why bronze, silver, and gold are available as well. The idea being to reduce your premium, you take on a little more risk - meaning you're willing to take on a higher deductible, higher coinsurance/copayment, etc. to keep your premiums down. You may also want to see if group coverage is available through your employer. Group coverage can provide many benefits as well, such as lower premiums (the employer contributes to a percentage of the premiums for each employees plan) - the trade-off to keep in mind is that for group plans, if you left the company or your employment was terminated, you lose the coverage. An individual plan will stay with you wherever you go. It's always helpful to consult with an experienced broker regarding your coverage. We have in-depth knowledge of products from multiple carriers and work on a personal level with our clients and help them find the coverage that will best serve their needs. I hope the information is helpful - please feel free to contact me for help with your health plan and if you have any other questions. Thanks very much!"
long-term-care-insurance,What Percent Of Americans Have Long Term Care Insurance?,"Approximately 10% of Americans have Long Term Care Insurance. Many long term care insurance plans are now tax qualified so that premiums can be deducted on income tax. Most policies now also cover all levels of care, including at home benefits. These efforts to encourage more Americans to buy more long term care insurance are complicated by the fact that rates are going up and fewer companies are selling Long Term Care insurance. But for that percentage to has it, there are many benefits."
life-insurance,Why Is Life Insurance So Expensive In Wisconsin?,"If you have found that life insurance is expensive in Wisconsin, it is probably due to one or more of several reasons: 1) You are an older person. The younger you are, the cheaper life insurance is, when other factors are comparable. 2) You smoke. Tobacco rates often run three times nontobacco rates. 3) You have a health condition. Health can make a big impact on life insurance premiums. 4) You are buying permanent insurance. The longer you lock in the rate, generally, the more it costs. But then you do not have to purchase a new policy at an older age, when the short term policy runs out. 5) You do not have a selection of policies from which to choose. Using a broker can help you get the lowest cost."
long-term-care-insurance,How Old Should You Be When You Get Long Term Care Insurance?,"You should, ideally, be under 60 when you buy long term care insurance. Being younger helps your rates be lower, and when you are under 60 years old, you have less chance of developing some of the health conditions that crop up as we age. But you should get long term care insurance whenever you feel the need, be that at an older or younger age."
renters-insurance,What Is The Average Monthly Cost Of Renters Insurance?,"To find an average cost, contact neighbors with similar units. What they pay compared to the amount of coverage that they have should give you a quick idea of the cost of a renters policy. Contact an insurance agent that you trust and they will provide a quote that is tailored to your specific situation and concerns."
auto-insurance,Can You Drive Any Car With Fully Comp Insurance?,"Automobile insurance covers the car. If you have an automobile policy and are operating someone elses automobile, you might have some coverage, should the policy covering that auto be inadequate. It is difficult to think of a circumstance under which your comprehensive coverage would come into play because comprehensive usually indicates that the vehicle is not moving, so you couldnt be operating it. There might be some unusual circumstances but you should check with an agent, adjuster or claims representative."
auto-insurance,Can You Drive Any Car With Fully Comp Insurance?,"Car insurance covers the car.If you are going to borrow a car, check to determine whether there is current insurance on the car and that the limits are satisfactory. You will deal with the company insuring the car if you have an accident. If you own a car and have insurance on that car it can become secondary coverage if the coverage on the car you are borrowing is inadequate."
auto-insurance,Can I Get Car Insurance With An Expired License?,Most companies now use an on-line application for auto insurance. During the application process every car at the residence will probably be identified. Every driver living in the household will probably be identified. Every claim made by every driver on every car will be identified and the driving record of each driver will be identified. This information will immediately feed into the quoting process. Some companies might not be as automated and review of driving records may take place after the coverage is bound but that would be unusual and the company would probably cancel the policy as soon as they determine that you dont have a license.
auto-insurance,Can I Get Car Insurance With An Expired License?,"Can you get car insurance with an expired Licence? The short answer is no and it depends. In some rare instances, you can get car insurance with an expired licence but you cannot drive your car with an expired license. All this will also depend your state and insurance company. If you have an accident while driving on expired licence, the insurance company may chose not to cover the claim because you were not legally authorized to be driving. It is better to go renew your license."
medicare-insurance,Will Medicare Pay For Weight Loss Surgery?,"Medicare will pay for weight loss surgery if the BMI is over 35, if there is a health condition related to obesity that will be cured or alleviated by losing weight through the weight loss surgery, if weight loss must occur before treatment can be effectively undertaken for another health problem, and if other treatments are not expected to work to produce sufficient weight loss. There is a psychological evaluation done prior to surgery to make sure it should be done."
medicare-insurance,What Does Medicare Risk Mean?,"Medicare risk is a term used to describe an HMO-like style of delivering Medicare benefits in which a patient pays a set dollar amount to a Medicare risk provider who then takes on responsibility for delivering all health care the patient requires. In such a scenario, the Medicare patient may only receive benefits for services received from providers who participate with the contracted providers."
medicare-insurance,When Does One Receive A Medicare Card?,Most people will automatically receive their Medicare card a few months before they turn 65. You will be automatically signed up for Part A and Part B in most situations. You can decline or postpone Part B if you wish. The only reason I can think of for postponing Part B is you have existing coverage through an employer group health plan and that plan is primary.
medicare-insurance,When Does One Receive A Medicare Card?,"On a side note to Mr. Vineyard's answer which is great , once you receive the Medicare claim number which is usually your social security number with a letter behind it, this will allow you to sign up for a Medicare Advantage Plan. These plans are offered through private insurance company's like Aetna, United HealthCare, and Humana and have to be at a minimum as good as original Medicare but these advantage plans almost always have added benefits such as dental, vision, and hearing that original Medicare does not have. Most company's have several plans available at a $0.00 monthly premium in addition to your Part B premium. Original Medicare only covers 80% and you pay 20%. There are no co-pays."
retirement-plans,Can I Borrow Money From My Retirement Plan?,"Can you borrow money from a retirement plan? It's going to depend on the plan that you are participating in. Since the term borrowing is involved, I will assume this is about borrowing from a 401k plan. The ability and the reasons allowed for borrowing are set by both government and administration of the plan. The government has some straight forward situations where loans can be granted. What a retirement plan committee can do though is add acceptable reasons for loans. The question becomes even if loan provisions are offered, should you use this as a source of loans? Only as a last resort. Even though you get to pay yourself back at low interest, you have removed money from your investment pool that could earn more than a low interest rate. So you could be losing money by doing this. Then if for any reason you separate employment the loan balance is immediately due. and could be considered a distribution subject to penalty. Last choice."
retirement-plans,Can I Borrow Money From My Retirement Plan?,"There are two main retirement plans: qualified and non-qualified. Qualified plans allow for participates to borrow from their plans at a stated interest rate. But just keep in mind that if you change jobs the plan may call for you to pay back the loan before you transfer it to another. Non-qualified plans that use annuities or life insurance are generally individually owned. Annuities may allow a withdrawal (not a loan) without surrender charges, but are subject to tax on the gain and a 10% penalty if youre under age 59 . Permanent life Insurance allows borrowing at an interest rate and may not, if the policy has performed, require the loan to be repaid."
medicare-insurance,What Are The Services That Can Be Paid Through Medicare D?,"Medicare Part D provides prescription drug coverage. If you're referring to physician services, this would be provided under Medicare Part B (your physician insurance). You can find out information about all aspects of Medicare Part D on the Medicare.gov website - you can also contact an insurance broker for help as well."
home-insurance,How Much Will It Cost For Home Insurance?,"The price for a homeowners policy depends on certain variables. The location and the cost to rebuild the house are the primary factors in determining the premium. The amount of liability coverage desired, and special coverages tailored for your situation are also factors. Personal loss history and whether you have other lines of insurance with the company are additional factors often considered. Your trusted insurance agent can prepare a customized quote for you fairly quickly. The agent will listen to you, offer sound financial advice, and communicate clearly with you and with the insurance company."
long-term-care-insurance,Will Long Term Care Insurance Pay For Assisted Living?,"Yes, many Long Term Care Insurance policies will pay for assisted living costs. They may even pay for custodial care at home if you get a policy that specifies that. Contact a good LTC agent and review all the benefits to be sure that you are getting a Long Term Care policy that can be used for costs beyond just nursing home expenses."
life-insurance,Does Life Insurance Pay For Funeral?,"The death benefit proceeds from life insurance are paid to the beneficiaries of the policy. The beneficiaries, unless otherwise directed, can spend the proceeds as they see fit. Generally final expenses like funeral costs fall upon the family, i.e. commonly the beneficiaries. Most beneficiaries pay outstanding debt, the number one use of life insurance death benefit proceeds."
life-insurance,Does Life Insurance Pay For Funeral?,"Yes, Life Insurance pays for funeral bills and any other expenses associated with final expense needs. The funeral life insurance policy can be purchased for any face amount with a relative or friend as the beneficiary, plus a collateral assignment to the funeral home. That way the funeral home will get what they are owed with the remainder going to your beneficiary. Having Life Insurance for funeral needs is handy because it not only can cover the funeral, but cemetery, transportation for special guests to get to the funeral, and other costs that are incurred upon death. In fact, the remainder of the death benefit can be used for anything at all that the beneficiary chooses to spend it on."
auto-insurance,How Much Would Insurance Be For A 16 Year Old With A Sports Car?,"There is no pat answer to that question. Soooooooooo many variables. If a 16 year old strikes out on his own to purchase car insurance for a so-called sports car, he will likely pay tremendously more than a 16 year old who insures a sports car or any car for that matter, with the same company as the other household drivers and cars are insured with. In addition there are the myriad of other factors that weigh into the rate, i.e. the specific car, policy coverage limits, driving record, credit, homeownership, etc, etc. Call an insurance professional for guidance."
medicare-insurance,Can I Switch From Medigap To Medicare Advantage?,"Yes, If you have Medicare Part A and Medicare Part B and do not have ESRD (End Stage Renal disease) you can switch from a medigap to a medicare advantage plan during the annual open enrollment period (October 15th thru December 7th ) and have a January 1st effective date. Once accepted you can then cancel your medigap and/or PDP (Prescription Drug Plan) with a January 1st termination date. I would recommend locating an independent agent who specializes in Medicare to help you thru this process..."
medicare-insurance,Can I Switch From Medigap To Medicare Advantage?,"Yes, you can switch from Medigap to Medicare Advantage plans during the Annual Election Period, which runs from October 15th-December 7th each year. Then, cancel your Medigap and/or Part D Rx plan. If Rx coverage is desired, you will want to sign-up for a Medicare Advantage with Prescription Drug (MAPD) plan."
medicare-insurance,Can I Switch From Medigap To Medicare Advantage?,"Yes, you can switch from Medigap to Medicare Advantage (during annual open enrollment). The question is, why do you want to? Your Medigap plan most likely has less than $500 out of pocket if you have a bad year. You have $0 out of pocket with plan F and $2110 with Hi F. Medicare Advantage has an out of pocket of $2700 to $5700 PLUS your OON charges."
home-insurance,Does Homeowners Insurance Cover Vehicle Damage?,"No, vehicles are not part of the home and are not personal property. This is a common misconception about vehicle coverage.Many people believe their home insurance will cover vehicles if they are in a garage, this is simply not true. Home insurance will exclude ""vehicles"" which is normally defined as ""anything with a motor, unless it is used to services the premises."" - so if you have a lawn mower or snowblower, and it is only used to service the premises (mow your own lawn, blow your own snow) then it is covered as personal property. If you use it for hire to make money, you should cover it under business insurance.A snowmobile, motorcycle, car, boat are not used to service the premises, so would be excluded. Even vehicle parts are generally excluded by homeowner's insurance."
health-insurance,How Much Does Health Insurance Cost For A Small Business?,"Bob, great answer. In addition, most carriers require 50% minimum employer contribution on behalf of the employee. No requirement for dependents. This variable contribution amount further clouds the cost of health insurance for small business. Depending on demographics of of the group, type of health plan offered, employer contribution amount, the cost to employee can be $0 to $300."
health-insurance,How Much Does Health Insurance Cost For A Small Business?,"The simple answer is, your question (as asked) cannot be answered. Group health insurance plans have many variables that impact pricing. Your location, the type of business, age and gender of your employees, overall health of the covered individuals, and plan design are the most prominent factors in rate setting. In Atlanta, it is not uncommon to see employee only rates in the $300 - $400 per month range. Family rates can be 3 - 4x the employee rate."
home-insurance,Can I Cancel My Home Insurance Policy At Any Time?,The insurance company will cease coverage upon your request. Your lender might not be so forgiving. The lender usually has the right to place insurance on the home if you fail to provide insurance. When the insurance company ceases coverage they are required to notify your lender. Most homeowners are not pleased when this occurs.
